2026-07-31 21:51:08.360 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-17 - Added connection org.postgresql.jdbc.PgConnection@2889e2c6
2026-07-31 21:51:08.360 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-17 - Start completed.
2026-07-31 21:51:09.467 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-07-31 21:51:09.568 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@342e9f6d
2026-07-31 21:51:09.570 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-07-31 21:51:09.637 [restartedMain] INFO  com.example.test.TestApplication - Started TestApplication in 2.24 seconds (process running for 109442.947)
2026-07-31 21:51:11.645 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-07-31 21:51:11.647 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-07-31 21:52:18.730 [restartedMain] INFO  com.example.test.TestApplication - Starting TestApplication using Java 21.0.11 with PID 10892 (C:\Users\ADMIN88\jvabackend\test\build\classes\java\main started by ADMIN88 in C:\Users\ADMIN88\jvabackend\test)
2026-07-31 21:52:18.732 [restartedMain] INFO  com.example.test.TestApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-31 21:52:20.432 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-07-31 21:52:20.514 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@4aca1a68
2026-07-31 21:52:20.516 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-07-31 21:52:22.586 [restartedMain] INFO  com.example.test.TestApplication - Started TestApplication in 4.257 seconds (process running for 4.812)
2026-07-31 21:53:42.622 [http-nio-8080-exec-4] INFO  c.e.test.controllers.AuthController - Attempting login for user: nhanvien04
2026-07-31 21:54:44.361 [http-nio-8080-exec-5] INFO  c.e.t.c.UserOrganizationController - Fetching all users in org: 1
2026-07-31 21:55:39.548 [Thread-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-07-31 21:55:39.552 [Thread-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-07-31 21:55:39.693 [restartedMain] INFO  com.example.test.TestApplication - Starting TestApplication using Java 21.0.11 with PID 10892 (C:\Users\ADMIN88\jvabackend\test\build\classes\java\main started by ADMIN88 in C:\Users\ADMIN88\jvabackend\test)
2026-07-31 21:55:39.693 [restartedMain] INFO  com.example.test.TestApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-31 21:55:40.774 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2026-07-31 21:55:40.825 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Added connection org.postgresql.jdbc.PgConnection@396474ed
2026-07-31 21:55:40.825 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2026-07-31 21:55:41.382 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
2026-07-31 21:55:41.453 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
2026-07-31 21:55:43.083 [restartedMain] INFO  com.example.test.TestApplication - Starting TestApplication using Java 21.0.11 with PID 10892 (C:\Users\ADMIN88\jvabackend\test\build\classes\java\main started by ADMIN88 in C:\Users\ADMIN88\jvabackend\test)
2026-07-31 21:55:43.083 [restartedMain] INFO  com.example.test.TestApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-31 21:55:43.820 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
2026-07-31 21:55:43.888 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-3 - Added connection org.postgresql.jdbc.PgConnection@48a67472
2026-07-31 21:55:43.889 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
2026-07-31 21:55:45.084 [restartedMain] INFO  com.example.test.TestApplication - Started TestApplication in 2.067 seconds (process running for 207.31)
2026-07-31 21:55:55.609 [http-nio-8080-exec-2] INFO  c.e.t.c.UserOrganizationController - Fetching all users in org: 1
2026-07-31 22:05:14.814 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown initiated...
2026-07-31 22:05:14.821 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown completed.
2026-07-31 22:05:14.920 [restartedMain] INFO  com.example.test.TestApplication - Starting TestApplication using Java 21.0.11 with PID 10892 (C:\Users\ADMIN88\jvabackend\test\build\classes\java\main started by ADMIN88 in C:\Users\ADMIN88\jvabackend\test)
2026-07-31 22:05:14.920 [restartedMain] INFO  com.example.test.TestApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-31 22:05:15.299 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Starting...
2026-07-31 22:05:15.325 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-4 - Added connection org.postgresql.jdbc.PgConnection@64b6cd28
2026-07-31 22:05:15.325 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Start completed.
2026-07-31 22:05:16.140 [restartedMain] INFO  com.example.test.TestApplication - Started TestApplication in 1.252 seconds (process running for 778.366)
2026-07-31 22:06:47.738 [Thread-12] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Shutdown initiated...
2026-07-31 22:06:47.740 [Thread-12] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Shutdown completed.
2026-07-31 22:06:47.823 [restartedMain] INFO  com.example.test.TestApplication - Starting TestApplication using Java 21.0.11 with PID 10892 (C:\Users\ADMIN88\jvabackend\test\build\classes\java\main started by ADMIN88 in C:\Users\ADMIN88\jvabackend\test)
2026-07-31 22:06:47.823 [restartedMain] INFO  com.example.test.TestApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-31 22:06:48.554 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-5 - Starting...
2026-07-31 22:06:48.597 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-5 - Added connection org.postgresql.jdbc.PgConnection@72d5e325
2026-07-31 22:06:48.598 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-5 - Start completed.
2026-07-31 22:06:49.456 [restartedMain] INFO  com.example.test.TestApplication - Started TestApplication in 1.669 seconds (process running for 871.681)
2026-07-31 22:06:51.143 [http-nio-8080-exec-2] INFO  c.e.t.c.UserOrganizationController - Fetching all users in org: 1
2026-07-31 22:06:51.144 [http-nio-8080-exec-2] INFO  c.e.t.m.s.i.UserOrganizationServiceImpl - Listing all users for organization ID: 1
2026-07-31 22:09:38.559 [Thread-16] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-5 - Shutdown initiated...
2026-07-31 22:09:38.561 [Thread-16] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-5 - Shutdown completed.
